#MS Peaks One: + Product Ion (rt: 4.249 min) (1194.5400 -> **) (2021-02-22_EG_1228_9_msms.d)
#
Center X	Height
197.2037	1.12	
914.7041	1.12	
1113.5845	1.12	
1205.7925	1.12	
1446.7726	1.12	
282.2684	2	
339.3082	2	
343.2248	2	
466.425	2	
692.253	2	
847.5729	2	
905.5086	2	
925.0135	2	
1017.5795	2	
1079.1411	2	
1382.0084	2	
1680.2712	2	
1708.3545	2	
263.2371	2.04	
337.2689	2.04	
411.3965	2.04	
886.5116	2.04	
1046.1267	2.04	
1060.6447	2.04	
1286.7635	2.04	
621.7132	2.25	
744.5475	2.25	
1347.6549	2.25	
1655.9051	2.25	
130.1512	3	
201.6649	3	
205.1746	3	
231.1231	3	
316.1878	3	
386.2727	3	
565.4014	3	
610.7123	3	
668.78	3	
795.311	3	
804.7492	3	
1048.1625	3	
1124.0708	3	
1145.8025	3	
1177.8118	3	
1470.8533	3	
1529.2595	3	
1544.7523	3	
250.4101	3.02	
496.5311	3.02	
612.4153	3.02	
1255.6846	3.02	
238.7411	3.04	
349.3494	3.04	
417.2119	3.04	
708.9034	3.04	
875.6066	3.04	
1468.8674	3.04	
213.2025	3.12	
385.2522	3.12	
1105.2022	3.12	
1395.8167	3.12	
1552.3702	3.12	
1865.7048	3.12	
543.3933	3.25	
847.1229	3.25	
188.132	3.38	
498.2514	3.38	
1102.149	3.38	
197.7409	4	
212.2282	4	
290.7634	4	
338.2489	4	
380.2849	4	
391.3029	4	
439.5169	4	
477.5321	4	
596.4107	4	
679.7906	4	
996.6011	4	
1098.5116	4	
1218.195	4	
2151.8224	4	
183.1715	4.02	
258.2255	4.02	
413.2739	4.02	
555.4217	4.02	
614.0568	4.02	
1292.38	4.02	
1521.1182	4.02	
207.1561	4.03	
257.1877	4.03	
470.2837	4.03	
1041.5228	4.03	
499.8586	4.08	
866.6413	4.08	
903.3658	4.08	
1055.8055	4.08	
1469.3341	4.08	
1692.2457	4.08	
260.1816	4.12	
602.3554	4.12	
237.2404	4.22	
317.3626	4.22	
525.6083	4.22	
655.2952	4.22	
919.7894	4.22	
1192.444	4.22	
448.2123	4.25	
114.0878	4.38	
499.326	4.38	
851.4673	4.38	
507.3658	4.5	
247.1815	5	
252.1845	5	
