#MS Peaks One: + Product Ion (rt: 4.241 min) (1194.5400 -> **) (2021-02-22_EG_1228_9_msms.d)
#
Center X	Height
444.2513	1.12	
495.3695	1.12	
1321.2021	1.12	
1498.7905	1.12	
412.7724	2	
527.3301	2	
663.3711	2	
770.5813	2	
1022.6638	2	
1228.9788	2	
1370.7258	2	
1580.8191	2	
1632.8263	2	
1882.0135	2	
129.1302	2.04	
1101.5952	2.12	
1622.8559	2.25	
410.2623	3	
892.555	3	
1257.1506	3	
2306.8777	3	
548.3421	3.02	
1056.89	3.02	
1320.6715	3.02	
1209.6702	3.04	
1406.823	3.04	
159.1305	3.12	
171.145	3.12	
1071.392	3.12	
1189.8479	3.25	
1228.6194	3.25	
1060.6502	3.38	
507.0314	4	
664.3651	4	
719.8282	4	
852.4142	4	
920.8639	4	
1181.835	4	
1182.6835	4	
1381.8017	4	
582.169	4.02	
1053.0517	4.02	
1779.5151	4.02	
1181.2377	4.03	
1187.23	4.03	
240.1509	4.04	
747.4392	4.04	
819.5282	4.04	
1480.6001	4.08	
1624.3264	4.08	
1351.5589	4.22	
1626.9343	4.22	
1164.0336	4.25	
1478.6883	4.25	
2151.379	4.38	
385.7469	5	
495.9887	5.01	
1021.1416	5.01	
1537.8343	5.01	
920.5476	5.02	
161.103	5.03	
184.1795	5.03	
577.5422	5.04	
115.1464	5.06	
238.1777	5.06	
1188.2241	5.06	
359.2478	5.08	
707.387	5.08	
1120.1514	5.08	
1174.4504	5.08	
1191.2333	5.08	
481.2811	5.12	
516.1443	5.16	
865.0152	5.16	
921.1909	5.16	
922.1722	5.16	
1176.1665	5.16	
1577.6493	5.25	
367.515	5.33	
836.4805	5.33	
720.5312	5.38	
1204.6522	5.5	
2064.7322	5.5	
1053.5142	6	
313.8437	6.01	
1760.8413	6.01	
1711.5015	6.02	
819.3163	6.04	
664.938	6.05	
1083.1192	6.08	
654.3561	6.12	
665.3599	6.12	
1492.6744	6.12	
587.2534	6.16	
952.444	6.16	
683.6957	6.22	
1019.6736	6.22	
431.3435	6.25	
769.9053	6.25	
1408.7823	6.45	
1199.7716	6.62	
