#MS Peaks One: + Product Ion (rt: 4.245 min) (1194.5400 -> **) (2021-02-22_EG_1228_9_msms.d)
#
Center X	Height
360.2233	1.12	
698.3751	1.12	
1780.967	1.12	
263.2484	2	
289.2068	2	
324.2169	2	
404.7686	2	
588.2648	2	
724.4421	2	
767.1985	2	
796.9299	2	
920.6107	2	
990.1489	2	
1060.656	2	
1225.5695	2	
1414.813	2	
1427.7195	2	
1547.7454	2	
198.1077	2.04	
419.5862	2.04	
526.293	2.04	
990.5536	2.04	
1495.7645	2.04	
1510.3037	2.04	
326.1881	2.12	
1163.6542	2.12	
1199.5188	2.12	
521.2976	2.25	
1197.2508	2.25	
107.1161	3	
209.4435	3	
242.3475	3	
269.1173	3	
366.3244	3	
399.1939	3	
442.2974	3	
541.4384	3	
757.42	3	
765.8314	3	
816.4449	3	
852.4774	3	
853.3198	3	
914.7357	3	
1048.5218	3	
1195.748	3	
1389.707	3	
1529.3818	3	
1677.3233	3	
1689.9731	3	
2023.0994	3	
467.9195	3.02	
1370.0696	3.02	
173.1419	3.04	
203.1288	3.04	
227.518	3.04	
384.3558	3.04	
983.4237	3.04	
1130.1154	3.04	
1195.265	3.04	
336.7838	3.12	
402.2968	3.12	
694.5322	3.12	
1340.5958	3.12	
1653.7635	3.12	
320.2395	3.25	
1242.5345	3.25	
1610.2163	3.25	
2119.0658	3.25	
322.2327	3.38	
802.68	3.38	
1197.6898	3.38	
1418.6917	3.38	
1631.4151	3.38	
555.317	4	
737.9945	4	
964.5929	4	
1109.9803	4	
1272.4904	4	
270.3389	4.02	
586.176	4.02	
1145.6377	4.02	
1197.5488	4.02	
1432.4278	4.02	
1713.1129	4.02	
1774.0944	4.02	
498.4919	4.03	
366.2785	4.04	
1267.4356	4.04	
1510.7885	4.04	
339.2839	4.08	
818.5105	4.08	
1529.5993	4.08	
1555.7686	4.08	
1420.6704	4.12	
1631.7465	4.12	
470.442	4.22	
766.1312	4.22	
786.4163	4.22	
947.9971	4.22	
1046.1369	4.22	
1193.4163	4.22	
1289.509	4.22	
1531.3274	4.22	
1661.7905	4.22	
1719.003	4.22	
583.3898	4.38	
654.7206	4.38	
1053.5424	4.38	
1210.4375	4.38	
564.357	4.5	
685.3064	4.5	
920.5633	4.5	
962.4568	4.5	
1288.7715	4.5	
571.0108	5	
609.8629	5	
720.8449	5	
798.4317	5	
897.4941	5	
1363.6702	5	
1423.0388	5	
272.1994	5.01	
476.6059	5.01	
1015.3524	5.01	
1522.0238	5.01	
244.1816	5.02	
1191.5571	5.02	
1638.1255	5.03	
1124.6167	5.04	
268.1944	5.06	
767.3525	5.06	
768.9323	5.06	
181.1825	5.08	
353.219	5.08	
542.8304	5.08	
861.8083	5.08	
968.0502	5.08	
248.1969	5.12	
154.9888	5.16	
195.6935	5.16	
250.1631	5.16	
348.0041	5.16	
879.4782	5.16	
994.0025	5.16	
278.2295	5.22	
711.5977	5.22	
946.5094	5.22	
159.1728	5.33	
524.3732	5.33	
1216.0628	5.33	
466.2336	5.38	
263.2005	5.62	
420.3519	5.62	
1187.1401	5.62	
132.1733	6	
411.3049	6	
525.8785	6	
612.4578	6	
790.0178	6	
1297.6081	6	
1372.6824	6	
1598.8478	6	
258.1808	6.01	
378.2475	6.01	
