#MS Peaks One: + Product Ion (rt: 3.134 min) (1157.8700 -> **) (2021-02-22_EG_1228_12_msms.d)
#
Center X	Height
183.1453	87.66	
292.0792	140.47	
370.1665	49.04	
489.1979	89.11	
529.2212	41.94	
691.3105	28.05	
692.312	63.08	
730.8765	23.04	
749.3303	40.05	
762.3358	53.2	
795.8685	23.24	
861.4511	44.43	
878.3796	34.8	
878.4478	2.04	
893.7807	30.01	
905.9165	21.05	
925.5842	25.24	
930.4657	66.78	
932.7662	68.08	
965.4327	15.62	
965.8779	10.24	
986.2817	118.08	
1006.4014	15.25	
1006.4569	142	
1006.5837	6.01	
1010.3194	42.13	
1011.3883	45.16	
1028.1562	37.88	
1047.7382	167.77	
1073.4399	9.04	
1120.4127	10.16	
1120.5649	48.77	
1142.5208	24.45	
1152.2032	182	
1152.3413	3.02	
1152.5385	206.34	
1152.8934	67.78	
1154.1826	8.05	
1156.5927	8.01	
1157.113	52	
1157.8725	2696.2	
1158.0246	149.25	
1158.1094	264.32	
1158.2109	2983.78	
1158.5446	1708.66	
1158.715	120.02	
1158.8849	34.07	
1159.0171	28	
1159.5317	26.64	
1159.952	22.46	
1160.5544	25.4	
1160.8532	16.72	
1168.227	43.68	
1240.0673	26.06	
1240.2753	37.93	
1240.612	16.12	
1290.6167	15.38	
1324.2612	13.01	
1455.1801	32.34	
1456.2173	56.76	
1541.2158	37.01	

