#MS Peaks One: + Product Ion (rt: 3.138 min) (1157.8700 -> **) (2021-02-22_EG_1228_12_msms.d)
#
Center X	Height
104.0503	255.11	
129.1	254.25	
198.121	154.48	
198.1664	9.01	
212.1362	136.18	
230.0754	104.44	
230.1123	4.38	
231.1142	68.25	
240.1335	87.56	
243.1345	69.45	
257.041	103.15	
257.0824	4.04	
266.2229	20.33	
292.0764	72.29	
301.4326	13.01	
317.1085	41.73	
317.1302	13.33	
339.2066	114.04	
342.1824	38.79	
345.1723	38.14	
355.437	23.27	
355.5811	3	
379.1014	91.3	
379.1424	9.68	
419.2191	43.17	
442.2982	36.01	
456.2066	14.38	
469.1901	41.19	
471.1442	154.44	
471.2108	20.33	
482.2604	13.22	
483.2607	17.01	
491.1935	71.67	
498.2602	24.45	
507.2059	84.17	
516.2549	12	
560.2492	99.79	
560.339	9.03	
563.2089	47.22	
581.3223	33	
585.2787	59.34	
585.3517	3	
593.359	13.02	
628.372	14.02	
636.2401	64.7	
637.245	68.12	
670.3188	88.24	
691.3117	9.38	
692.3017	29	
703.8378	106.51	
721.3298	30.24	
733.2811	37.85	
749.8384	19.9	
762.3373	63.84	
763.3607	12.04	
783.4169	34.07	
824.4916	89.16	
831.3483	21.12	
858.889	121.53	
862.4726	22.02	
866.8994	20.11	
878.3741	97.07	
892.3345	13.67	
893.3908	128.28	
893.5261	2.12	
906.4188	29.84	
922.4358	132.21	
922.538	5.16	
929.4997	21.14	
929.5415	10.35	
931.1229	37	
932.4279	11.01	
934.0775	120.19	
934.18	16.01	
937.7024	34.72	
965.1453	91.57	
965.2623	2	
967.4347	80.25	
970.3926	77.16	
974.1493	18.01	
975.9346	31.36	
977.4269	57.5	
996.9964	9.38	
1006.4454	13.05	
1026.1692	230.05	
1026.2587	18.02	
1026.3572	4.02	
1027.8275	21	
1028.1707	36.67	
1032.1423	32.04	
1044.508	19.01	
1046.4071	10.06	
1054.6313	2.04	
1055.7022	49.31	
1063.4771	42.56	
1080.3787	106.6	
1081.6139	102.36	
1087.4922	18.11	
1104.5102	154.98	
1106.5323	51.16	
1108.5317	23.72	
1108.8481	145.03	
1108.9503	9.2	
1109.1757	68.2	
1110.7653	6.12	
1111.5099	44.26	
1112.5177	7.2	
1118.996	16.57	
1141.7119	31.01	
1144.5099	36.85	
1151.8624	136.45	
1152.2	157	
1152.4095	4.03	
1152.5328	40.79	
1157.8677	865.55	
1157.9766	34.01	
1158.0352	10	
1158.2095	1351.14	
1158.5456	866.11	
1158.9579	31	
1159.0999	20.24	
1159.7745	12.03	
1160.249	15.04	
1162.5433	26.32	
1175.496	89.42	
1176.5005	19.84	
1177.0329	65.01	
1182.5501	111.37	
1184.5606	41.09	
1200.5844	17.52	
1219.6389	10.17	
1233.5846	52.22	
1234.0717	13.5	
1240.5786	152.52	
1240.6548	20	
1244.649	28.02	
1276.6016	38.01	
1282.1128	48.12	
1288.1274	13.45	
1290.132	32.17	
1290.6292	193.35	
1290.7687	8.09	
1296.3896	138.51	
1297.6198	22.04	
1298.1106	41.64	
1301.6553	22.22	
1318.134	35.22	
1347.658	14.56	
1355.6378	21.57	
1356.1427	271.25	
1356.2458	18.41	
1356.6199	39.84	
1356.6625	7.75	
1362.6205	44.41	
1363.1576	23.03	
1375.6466	14.32	
1392.3904	20.03	
1400.6705	15.25	
1403.0455	11	
1412.6503	49.62	
1418.7068	54.82	
1419.6712	75.41	
1424.7145	60.13	
1446.6828	29.28	
1455.1801	25.56	
1455.7048	66.2	
1474.6853	60.12	
1483.2213	27.52	
1483.5036	7.04	
1520.7726	23.89	
1533.763	42.76	
1541.7339	169.69	
1541.8151	21.36	
1547.2669	35.22	
1592.2265	23.53	
1615.5306	33.12	
1732.8344	13	
1739.8151	9.01	
1950.891	24.13	
1951.8811	34.45	
2076.0167	76	
2191.1357	25.2	
2201.0673	89.73	

