#MS Peaks One: + Product Ion (rt: 3.146 min) (1157.8700 -> **) (2021-02-22_EG_1228_12_msms.d)
#
Center X	Height
104.0515	650.78	
104.0983	13.16	
105.0658	58.61	
125.1097	33.17	
129.1007	1344.12	
129.1973	3	
129.2922	16.03	
130.0642	50.03	
144.0806	73.7	
147.0762	17.4	
148.0583	151.76	
159.0895	56.81	
170.0531	11.41	
171.1085	20.72	
173.0518	17.24	
186.1226	199.05	
196.119	101.88	
200.1431	15.08	
200.1718	14.57	
207.0618	143.15	
215.1388	121.22	
217.1399	62.96	
227.0835	57.27	
229.1036	50.53	
240.1487	102.17	
244.1309	10.07	
256.1438	58.79	
263.152	34.31	
268.1425	152.35	
270.1675	32.02	
290.1296	6.05	
291.342	56.9	
292.071	112.92	
294.122	85.03	
294.162	12.35	
295.0924	51.32	
295.1548	66.96	
296.153	46	
296.8927	17.89	
302.1507	59.36	
304.1186	66.72	
306.1461	162.65	
315.6318	29.12	
317.1093	41.25	
322.5793	19	
323.2395	77.13	
329.1399	110.41	
351.1085	41.94	
351.2167	42.96	
354.1603	38.1	
357.2018	20.42	
375.2028	109.09	
379.1087	118.84	
383.1459	22.96	
416.1479	17.09	
419.1167	44.74	
421.1682	35.59	
450.2464	57.67	
452.1686	14.16	
464.2433	28.18	
465.2261	28.89	
472.1851	43	
481.2153	26.76	
514.6983	7.45	
516.2479	137.26	
544.248	22.29	
558.3396	64.8	
576.2218	18.12	
577.2803	64.62	
581.2814	251	
581.3816	6.05	
610.8386	20.16	
617.3053	69.7	
630.2992	57.56	
636.2424	223.77	
652.329	28.45	
658.3361	78.89	
659.3	183.61	
659.4211	4.22	
662.2983	54.38	
670.3125	40.93	
673.2833	58.68	
684.3382	22.56	
690.2552	30.82	
697.3244	84.55	
699.395	23.2	
699.4524	77.51	
699.5053	6.01	
702.3228	136.47	
746.3269	31.8	
748.2666	36.22	
751.3796	15.16	
769.3944	56.2	
775.3261	22.97	
780.35	42.89	
803.346	30.01	
822.4251	40.59	
836.6196	36	
845.3987	39	
845.4594	24.21	
861.3598	3.04	
869.3579	122.31	
878.3868	18.36	
917.368	49.02	
939.979	43.08	
967.434	20.01	
971.4722	10.67	
974.4671	40.06	
1016.455	49.45	
1025.4587	51.54	
1046.4923	35.84	
1073.5025	22.5	
1270.5819	29.46	
1296.6062	61.17	
1301.5139	15.78	
1422.2095	22.97	
1422.2877	2	
1431.2149	16.04	
1557.8412	52.16	
1937.9405	29.01	
2212.2985	4.22	
2220.0213	45.4	
2534.6646	20.05	

